ITL.region.code,ITL.region.name,GVA,GDP,value
TLM78,West Lothian,54,5761,0.94
TLM81,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",16,4614,0.35
TLM82,Glasgow City,6,25560,0.02
TLM83,"Inverclyde, East Renfrewshire, and Renfrewshire",16,7811,0.20
TLM84,North Lanarkshire,35,9370,0.37
TLM91,Scottish Borders,214,2922,7.32
TLM92,Dumfries and Galloway,309,4070,7.59
TLM93,East Ayrshire and North Ayrshire mainland,79,5148,1.53
TLM94,South Ayrshire,66,2786,2.37
TLM95,South Lanarkshire,95,8240,1.15
TLN06,Belfast,9,15555,0.06
TLN07,"Armagh City, Banbridge and Craigavon",198,4977,3.98
TLN08,"Newry, Mourne and Down",128,3843,3.33
TLN09,Ards and North Down,58,2673,2.17
TLN0A,Derry City and Strabane,55,3639,1.51
TLN0B,Mid Ulster,225,4406,5.11
TLN0C,Causeway Coast and Glens,121,2768,4.37
TLN0D,Antrim and Newtownabbey,51,3916,1.30
TLN0E,Lisburn and Castlereagh,48,4017,1.19
TLN0F,Mid and East Antrim,86,3008,2.86
TLN0G,Fermanagh and Omagh,152,2916,5.21
